question_id,subject,relation,object,question,subject_name
13146,m.02kc1x8,user/mt/default_domain/metabolite/associated_disorder,m.0bqmg2,"what disorder is associated with 3,7-dihydropurin-6-one",sarcine||sarkine||hypoxanthine enol||sarkin||hypoxanthine
13159,m.02hjn4,cvg/gameplay_mode/games_with_this_mode,m.025s52x,what is a single-player sports video game ,single-player video game
13283,m.02h664x,people/profession/people_with_this_profession,m.0gjc9wy,What basketball player played for the pacers,
13342,m.01rh1t0,music/album/genre,m.0hdf8,what is the type of music that is played on disco blood?,
13374,m.02hmvc,film/film_genre/films_in_this_genre,m.0b1yq2,what is a 1941short film,short subject||short||short film||short films
13430,m.09snp5,people/ethnicity/geographic_distribution,m.05sb1,Where do the muhajir (pakistan) people live,muhajir people
13496,m.0slwfql,music/album/album_content_type,m.0l14g2,access all arenas is what kind of album,"access all arenas : live, july 19th 2012: les arènes de n?mes"
13515,m.01s2r5h,music/artist/genre,m.03lty,what kinds of music is played by rickywarwick,ricky warwick
13677,m.04y8wvp,music/artist/track,m.0dw2gj2,what is the name of a track by  heartanger,secret sphere
13689,m.0b713z,music/artist/track,m.0w0cbd9,What tracks are by billychildspiano?,william edward childs||billy childs
13691,m.01k3_v0,music/artist/label,m.0c34hp,whats the name of the label that  southerncultureontheskids records to,scots||s.c.o.t.s.||southern culture on the skids
13703,m.01p4fhp,music/artist/track,m.0xxc4f,What tracks are by thereiversofficial,"the reivers||reivers, the||zeitgeist"
13754,m.0_jqh5j,music/composition/lyricist,m.0238mf,who composed go home girl,
13808,m.0gkl8hv,people/person/nationality,m.05r4w,Where is marina albuquerque from?,
13820,m.02zktk,education/educational_institution/campuses,m.02zktk,What genre is the film the pasha's daughter,"lyon college, batesville||lyon college||lyon college, main campus"
13848,m.05vw14b,people/deceased_person/place_of_death,m.0f2v0,where is florida did suzanne keller die?,
13855,m.01xczx,type/object/type,m.05bpnkw,What is a mansard roof,
13862,m.017rqm,base/activism/activism_issue/activists,m.040yjk,who is an activist that fought for  female suffrage,women's suffrage
13918,m.0gw5t9w,media_common/netflix_genre/titles,m.07nk4,what is the name of a movie or tv show for ages 8 to 10 on netflix,ages 8-10||movies/tv for ages 8 to 10
13983,m.01t_nxt,music/group_member/instruments_played,m.0342h,what instrument does paulcollins play,"collins, paul||paul collins"
14002,m.02hjn4,cvg/gameplay_mode/games_with_this_mode,m.037bl8,what is a game with single_player as its gameplay mode,single-player video game
14048,m.0307_g,music/artist/genre,m.016clz,What type of music does archiveuk group perform?,archive
14119,m.01ls_m8,music/artist/genre,m.0145rs,what genre of music does the artist  salvadorofficial make,salvador
14169,m.0bg635,music/artist/origin,m.01smm,where is the artist savingjane from ,saving jane
14221,m.03ksy,common/topic/subjects,m.0wxy7nm,who is an alumni involved in IT ,"harvard university||harvard||harvard university, main campus||harvard university, cambridge"
14233,m.0ftj7r3,music/album/album_content_type,m.0l14gg,is the dancer a soundtrack or compilation album,
14254,m.03jy9d,medicine/drug_administration_route/drug_formulations,m.0hqrf09,what is a drug formulation of a topical?,topical medication
14283,m.02x75n,cvg/computer_videogame/cvg_genre,m.0403l3g,What netflix genre is the film the john cena experience,grandia ii
14453,m.0j2v,book/author/book_editions_published,m.04v2prg,what is book was published by?,a. costler||arthur koestler||dr. a. costler
14500,m.0j7mt4z,tv/tv_program/genre,m.0lsxr,what kind of show is hum ne li hai- shapath?,supercops vs supervillains
14638,m.05l5vx,music/artist/label,m.033hn8,What label is kennyandchante on?,"kenny lattermore||kenny latimore||lattimore, kenny||kenny lattimore||keeny lattimore"
14717,m.07247m,music/artist/origin,m.01xbld,what area is blackwireuk from?,black wire
14733,m.02y_5cp,music/composition/composer,m.01bpnd,who was the composer for the songmucky fingers?,mucky fingers
14758,m.02wxkny,astronomy/astronomical_observatory/discoveries,m.03y78pj,what asteroid belt did kuma kogen observatory discover,kuma kogen astronomical observatory
14768,m.03h_9lg,base/academyawards/host_of_oscar_show/oscar_show_hosted,m.04110lv,which award show did realhughjackman host ,hy? jakkuman||khyu dzhekman||hugh jackman||hugh michael jackman
14771,m.0cqbc,astronomy/asteroid_group/asteroid_group_members,m.0k0k9l6,what asteroid was discovered in 1998?,asteroid belt||main-belt||main belt||main asteroid belt
14896,m.01pv86j,music/artist/genre,m.03xnwz,What sort of pop does theservantuk play,"the servant||servant, the"
14901,m.062s9s,location/location/events,m.014s8t,what's a historical event that happened in italia (roman empire),roman italy
14948,m.01lrchh,music/artist/album,m.02z5fdf,what album is by silentiumband,silentivm||silentium
15075,m.08ny_h8,film/film/language,m.02h40lc,in which language is the broadminded movie spoken ,
15076,m.07xg1,book/book_subject/works,m.0bxs6rj,what book details the military of the united states,united states military||united states armed forces
15083,m.041rx,people/ethnicity/people,m.04sxyjt,who is a jewish person?,jew||jewish people
15090,m.0hsqf,location/location/people_born_here,m.0k8p245,Who is the first South Korean gymnast that won an gold medal?,"keijō-fu||keizyo||keijoshi||kezyo||kyongsong-bu||kyongsongbu||kēzyō||keijō-shi||soul-t'ukpyolsi||s?ul||soulsi||keizyō||keijofu||kyongsongsi||kyongsong-si||keijo-shi||kyongsong-pu||ky?ngs?ng-pu||special city of seoul||ky?ngs?ng-bu||seoul, south korea||kyongsongpu||seoul city||seoul||soultukpyolsi||s?ul-si||keijo-fu||soul-si||s?ul-t’?kpy?lsi||ky?ngs?ng-si"
15172,m.06zlybp,people/person/place_of_birth,m.0jp26,What release included the recording fantasy,juan carlos lea?o
15175,m.01s67l5,music/album/release_type,m.02lx2r,how was interpieces organization released ,
15239,m.0crsn60,film/film/country,m.03rk0,WHich nation filmed kadal sadukudu,
15307,m.01fxg03,music/album/album_content_type,m.0l14gg,what type of album is josie and the pussycats,josie and the pussycats: music from the motion picture||josie and the pussycats soundtrack
15338,m.0389995,music/release/region,m.09c7w0,"what region was 89.3 live current, volume 1 released in","89.3 the current: live current, volume 1"
15514,m.0ds446w,people/person/religion,m.0b06q,what religion is viktor zimin,viktor mikhaylovich zimin
15539,m.05xm7c,music/artist/label,m.05808s,what is the recording company of altthesaint,a.l.t.
15549,m.08xpv_,location/place_with_neighborhoods/neighborhoods,m.08gm1d,what is an example of a neighborhood in the pittsburgh metropolitan area,"pittsburgh, pa metropolitan statistical area||pittsburgh tri-state"
15590,m.0278ybw,music/artist/label,m.03y9sc,what label is chrisadamsstringdriventhing under,string driven thing
15599,m.01jj484,music/album/release_type,m.02lx2r,is bandes originales de films de an album or a dvd,bandes originales de films de ennio morricone
15670,m.02w4djb,music/artist/origin,m.04jpl,where is mollybeanland originally from,molly beanland
15758,m.09pgcxd,film/film/directed_by,m.042kbj,who was the director for the film its a great life,
15776,m.018p5f,broadcast/radio_station_owner/radio_stations,m.027z1l3,which radio station is owned by clear channel communications,c c media holdings inc||bt triple crown capital holdings iii inc||cc media holdings inc||iheartmedia
15819,m.01w4fr4,music/artist/label,m.03m9trs,what album was created by red flag (band),"mass effect||eclectic kid||snapper, the||m.i.k.e||boy from nowhere, the||futuro||x-scape||vision act||calling the freak||soyuz||absolute||solar factor||fun-a-tic||technology man||the aggressor||dj robo'jox||x-tra-vaganza||mike \\\""m.i.k.e.\\\"" dierickx||plastic boy||m.i.k.e.||sector 7||push||galore||virtua trancer||tribal warriors||return of the native||dj push||sfx||the absolute||fascinated||aggressor, the||complex climate||alternative art||the blackmaster||tag||e-tronic||the astronaut||overtone||robo'jox, dj||the boy from nowhere||hypnobasia||classic tribe||the snapper||cosmo kid, the||the cosmo kid||dark city||dj robojox||drop||mike dierickx||linetech||xv 7||coax||liquid overdose||rhythm quest||magnetical||blackmaster, the||dirk dierickx||see:3"
16039,m.01mfz8z,music/artist/track,m.0dq3v7b,what are tracks by jochempaap,"jochem papp||tune||public energy||electric deluxe||dcc||jochem paap||paap, jochem||speedy j||speedy j."
16061,m.03hn0,film/film_genre/films_in_this_genre,m.0gkt86b,Name a 1970 korean historical film.,historical drama
16076,m.0c9c52x,people/person/nationality,m.0345h,what spacecrafts has rockwell international manufactured,reiner sü?
16103,m.0d7ttpb,film/film/language,m.06nm1,What language is santa in?,
16266,m.057m6,cvg/cvg_genre/games,m.021dvx,what is a famous mmorpg ,massively multiplayer online role-playing game
16290,m.0f9w35m,music/release/track,m.0f8tkmb,What was a popular track from the garden state album,garden state: music from the motion picture
16332,m.041rx,people/ethnicity/people,m.06vv6_,which actor is ethnically jewish,jew||jewish people
16352,m.0k33swc,tv/tv_series_episode/series,m.031rm1,what is the series that the episode scotland is from ?,
16571,m.0gd73y,education/educational_institution/campuses,m.0gd73y,What campus does indiana university hospital use,"indiana university hospital, main campus||indiana university hospital, indianapolis||iu health university hospital"
16766,m.03582r,location/administrative_division/country,m.06f32,what country does  taoyuan county serve,"taoyuan, taiwan"
16850,m.0jymw4s,film/film/country,m.0chghy,what film is hemp revolution from?,
16877,m.0238_xj,film/film/genre,m.02l7c8,What type of film is the longest night?,
16913,m.03r8gp,film/film_subject/films,m.026y6z7,a filmmaker filmed this subject.,filmmaking||film production
16936,m.015w9s,media_common/netflix_genre/titles,m.09sfbw2,whats the title of a movie that is classified as a netflix television movie,tv movie||television film||made-for-tv movie
17030,m.0xqcrkh,film/film/country,m.01ls2,which country released semáforo,stoplight
17206,m.02hjn4,cvg/gameplay_mode/games_with_this_mode,m.0blkpf,what game is single-player?,single-player video game
17248,m.01f9359,music/album/genre,m.0ggx5q,what kind of music would u expect to find on boomerang,boomerang soundtrack||boomerang: original soundtrack album
17296,m.0cz9p3l,music/composition/composer,m.03f0qd7,Who was the composer for loca?,
17297,m.0g5jp9d,medicine/disease/includes_diseases,m.03nfsv,which diseases are found in lichen?,lichen disorder||lichen disease
17362,m.0c663,location/location/people_born_here,m.0ghqr2r,Name a woman who was born in Apuila. ,regione puglia||puglie||apulia||le puglie||puglia
17376,m.06zp78d,common/topic/notable_types,m.02xlh55,What is roland dieckmann famous for,
17427,m.02hjn4,cvg/gameplay_mode/games_with_this_mode,m.0c9kq3,What is the name of a game with single-player mode,single-player video game
17568,m.0fwycdx,music/release/track_list,m.0ms27t_,"what is the track list for the release clarinetitis / sing, sing, sing",classic jazz archive: benny goodman and big band
17669,m.04w2yxm,book/written_work/author,m.02c3_1,who was the author of worship,
17672,m.05h4n_p,base/rugby/rugby_player/type_of_rugby,m.06f3l,what ,fred smith
17748,m.0r4l5d,music/recording/releases,m.01j4cg_,what is a recording from europa,
17767,m.0c5vg6,music/artist/genre,m.0jmwg,Name thekominas's music genre.,the kominas
17804,m.03lty,music/genre/albums,m.02pxnhy,what's a live album by dio?,heavy metal||heavy metal music
17814,m.07f9yy,music/group_member/instruments_played,m.05r5c,which musical instrument is played by sebastienfansite,sébastien izambard||sebastien izambard
17937,m.03jy9d,medicine/drug_administration_route/drug_formulations,m.0hqrh3p,which topical drug contains zinc oxide?,topical medication
17944,m.041rx,people/ethnicity/people,m.06czq8,who is a jewish person?,jew||jewish people
17961,m.060p18,cvg/cvg_developer/games_developed,m.078c11,What is a game domark developed?,domark software
18049,m.0gdqzt,music/artist/genre,m.0xhtw,what kind of music does theplight play?,"plight, the||the plight"
18051,m.01jc_f1,music/album/genre,m.0xhtw,what is the genre of the Tesla album released in 1990,five man acoustical jam
18056,m.0hcr,film/film_genre/films_in_this_genre,m.02gs6r,What is the name of the 1989 Hayao Miyazaki film?,animated||animation
18057,m.09xqv,biology/organism_classification/lower_classifications,m.052m9f,What is the lower classification for the gryllidae,cricket
18080,m.01pp6j3,music/album/release_type,m.02lx2r,What was released as?,after the rain
18114,m.0bbd9xx,music/composition/form,m.074ft,What type of composition is il voyage en solitaire?,
18138,m.0fjg6cy,music/album/artist,m.02_fj,Who recorded the album titled the voice,
18194,m.0crt3h5,media_common/netflix_title/netflix_genres,m.0fs6x5,what netflix genre is the title santiago ,
18199,m.05kkxc6,cvg/computer_videogame/publisher,m.03_c8p,What publisher released singstar vol. 2?,
18355,m.04mky3,music/group_member/instruments_played,m.0319l,Where did george ovey die?,"stevens, sufjan||sufjan stevens"
18388,m.06mvq,people/ethnicity/people,m.0d57_l,who is a swedish composer?,swedes
18453,m.02xr_b,people/person/place_of_birth,m.0tjlp,what type of disaster was the san juanico disaster?,"singleton, zutty||zutty singleton||arthur james \""zutty\"" singleton||arthur james singleton"
18485,m.01vqjzf,people/person/gender,m.02zsn,Is pflum orsolya a male or female,
18556,m.0h81j6h,people/person/gender,m.05zppz,What is the gender of bhagwan das varma?,
18576,m.02kbxdm,user/mt/default_domain/biofunction/metabolites,m.0q01m,what is the name of an essential amino acid,
18579,m.01p8sy,location/location/time_zones,m.02lcqs,"What time zone is 100 mile house, british columbia in","one hundred mile house, canada||one hundred mile house, british columbia||one hundred mile house"
18586,m.04ycmmc,media_common/netflix_title/netflix_genres,m.015fr,"What netflix genre is lula, the son of brasil under?","lula, o filho do brasil||lula, son of brazil"
18602,m.041rx,people/ethnicity/people,m.02tg_9,What notable person is jewish?,jew||jewish people
18603,m.0w2xrvw,people/person/religion,m.0blk0,what religion does lali giorgísasuli matcharashvili follow?,"lali match||lali matcharashvili, lali g. match lali gogiasasuli matcharashvili"
18672,m.0hx5f,location/location/people_born_here,m.04csb3,who is a famous football striker born in durham,"durham, england"
18695,m.0vc504n,music/release_track/recording,m.0nzl12,whats the recording with the release track confirmation,autumn in new york
18746,m.0qzbv91,people/person/place_of_birth,m.0156q,where was henrique martins born,
18870,m.095kpq,people/person/gender,m.05zppz,Name a male.,dwight macdonald
18873,m.0tf1dt,music/recording/releases,m.0399w8j,what is a release on the recording believe,believe (acoustic)
18881,m.041rx,people/ethnicity/people,m.02qry6,Which notable person is jewish?,jew||jewish people
18885,m.03q2kbr,digicams/digital_camera/manufacturer,m.03pmfw,what is the manufacturing  company of the nikon coolpix s510 cmaera,
18889,m.0cz7_3h,people/person/nationality,m.056vv,Where is milo? dragojevi? from,
18898,m.0g1rtj,people/person/profession,m.0kyk,Name an album made by bob marley?,jay stewart||stuart palmer
18905,m.0hqwqg5,medicine/drug/drug_class,m.04dyr8,what is a drug under the uniretic class,moexiprilat/hydrochlorothiazide
18942,m.0crtnn8,film/film/country,m.09c7w0,which country was the movie released in,taekwondo defender of kids:  kid's safety
18949,m.0rt2zgc,music/album/artist,m.01239,which artist recorded banadeek taala?,banadeek ta'ala||i'm calling you come
18965,m.0clc8t,people/person/nationality,m.09c7w0,What nation is timlanders from?,timothy gerard landers||tim landers
19044,m.038h54,people/person/ethnicity,m.0x67,what is the ethnicity of tawana brawley?,maryam muhammad||tawana brawley rape allegations
19057,m.01hqcds,music/album/genre,m.0m40d,What kind of music is featured on dream with dean,dream with dean/everybody loves somebody||dream with dean / everybody loves somebody
19111,m.01ng7l3,music/artist/origin,m.01_d4,where did baxter1111 start out,baxter||.baxter.
19131,m.0d_b8st,music/release/format,m.0jy36,"what format is the release coltrane, john in?",a love supreme
19134,m.02rwcl7,music/album/album_content_type,m.06vw6v,what type of content is the album ?,soy como quiero ser
19139,m.03z7vy8,music/album/release_type,m.02lx2r,is masters collection an album or a dvd,castle masters collection: jon lord
19145,m.01k5hzy,music/album/artist,m.01k5j1d,Who released the album jerusalem,dopesmoker
19234,m.04xvlr,media_common/netflix_genre/titles,m.047gs5d,what movie is classified as a period piece title,historical period drama
19287,m.02z8b2h,fictional_universe/fictional_character/character_created_by,m.02x8kk,who was the creator of the fictional character hitman (marvel comics),
19306,m.0492gq6,location/location/containedby,m.0488g,Where is wilder located at?,"wilder, kansas"
19433,m.01nkmw,aviation/airport/airport_type,m.01xpkvj,What type of airport is lyon airport,lyon–saint-exupéry airport||lyon satolas airport||saint-exupery international airport||saint-exupéry airport
19435,m.01vm34v,music/artist/genre,m.02k_kn,Which type of music does astudio create,a'studio||a-studio||a studio
19511,m.06k50f,cvg/computer_videogame/gameplay_modes,m.02hjn4,what player mode is lcd games from the legend of zelda series played in?,
19525,m.017rqm,base/activism/activism_issue/activists,m.02xxgv,who is a female suffrage activist,women's suffrage
19592,m.01hdtqw,music/release/format,m.01www,"What format was cmon, cmon released as","c'mon, c'mon"
19615,m.0bqt4w,location/location/containedby,m.0345h,which country is lohr in,lohr a. main
19629,m.01npl51,music/artist/track,m.0sjwsl,What is a track by the musical artist an emotional fish?,
19650,m.02hjn4,cvg/gameplay_mode/games_with_this_mode,m.04cqrr3,what is a single-player created by Ubisoft Casablanca,single-player video game
19655,m.01fc7p,military/military_conflict/military_personnel_involved,m.04k6z8,Who was a person involved in battle of gallipoli?,gallipoli campaign
19672,m.0j43h7l,film/film/country,m.03rjj,what country is noi tre from?,the three of us||we three
19697,m.0by15kh,astronomy/star_system_body/star_system,m.06p5g,where is (6019) 1991 ro6 located ,6019 telford
19807,m.0c1yv4_,music/album/release_type,m.02lx2r,what is the release type of that's bubblegum - that's giorgio?,
19826,m.0dng4z,cvg/computer_videogame/game_series,m.02rt5qc,What series is singstar anthems a part of?,
19850,m.04hj6r,music/artist/genre,m.0255pb,which category of music is tomahawkofficial under,tomahawk
19881,m.0142b6,cvg/computer_videogame/cvg_genre,m.02x9hs,what kind of game is jerec?,star wars jedi knight: dark forces ii||guerra nas estrelas: jedi knight - dark forces ii: o cavaleiro jedi||star wars: jedi knight - dark forces ii||star wars: jedi knight||dark forces ii
19887,m.0kyn32h,cvg/computer_videogame/publisher,m.02hk_py,What company published mickey mouse: the computer game?,
19893,m.03h__1b,music/artist/genre,m.01243b,what genre of music does theblackswans perform?,"the black swans||black swans, the"
19904,m.02xbz90,people/person/nationality,m.0193qj,From which nation did Mitsumi Shizumi hail citizenship from? ,mitsumi shimizu
19985,m.01k5969,music/album/album_content_type,m.02jbfk,What type of album is "The Peel Sessions"?,
20124,m.037r1h,location/location/containedby,m.01ly8d,"where is rivadavia department, buenos aires",rivadavia partido
20246,m.03jhpgp,music/album/artist,m.0674bs,which artist released the album,die unendliche geschichte soundtrack||die unendliche geschichte
20268,m.052psgk,film/film/country,m.09c7w0,what country was the making of bobby burnit filmed in,
20302,m.0dy7xw,time/time_zone/locations_in_this_time_zone,m.02v49q,which capital is located in the iran standard time,irst||it||iran time||iran time zone
20338,m.09c7w0,location/location/contains,m.01mdcw," Name a village in Monroe County, New York named after statesman Daniel Webster",us||the states||united states||estats units d'amèrica||america||u.s.||u.s.a.||usa||united states of america||u.s. of a.
20345,m.0tf1dt,music/recording/song,m.0_j_p7y,which song is part of believe,believe (acoustic)
20479,m.01pvj8,cvg/cvg_platform/games_on_this_platform,m.040rs0c,What's the name of a ti-99 game,texas instruments ti-99/4a
20508,m.07rqy,periodicals/newspaper_circulation_area/newspapers,m.02pnv6d,what is a newspaper in the twin cities?,
20575,m.0njtmyt,people/person/place_of_birth,m.056_y,What album was produced by kaci brown,rafael de penagos||rafael de penagos giménez
20622,m.0yqnn7y,people/person/place_of_birth,m.0bmm4,Which city was franja ko?enini born in,
20626,m.04634rs,music/artist/genre,m.0ggq0m,What genre of music does the artist cantabile create,
20690,m.0k3v8dj,astronomy/celestial_object/category,m.0jvq,What type of celestial object is 20224 johnrae,
20701,m.012qdp,people/profession/people_with_this_profession,m.028f_3,Name an armed forces officer,military officer||commissioned officer
20717,m.06634j2,cvg/computer_videogame/cvg_genre,m.02x9hs,What is the cvg genre of dan dare iii: the escape?,
20770,m.02q6cq0,organization/organization/legal_structure,m.025w401,What's the legal structure of new horizon interactive,disney canada inc.
21042,m.02hjn4,cvg/gameplay_mode/games_with_this_mode,m.087s1y,What's the non-multiplayer mode for single-player,single-player video game
21093,m.02hjn4,cvg/gameplay_mode/games_with_this_mode,m.0h3pbtb,What game has a single-player,single-player video game
21132,m.0crzg10,film/film/language,m.0653m,What language is spoken in women prison,
21199,m.0288nsm,internet/website/status,m.02hsn4g,What is the status of the website hotmail,msn hotmail||microsoft hotmail||live mail||windows live hotmail||outlook.com
21258,m.038gsm,location/location/events,m.0f9r_x,What's an event that took place in new orleans arena,the hive||smoothie king center
21273,m.04xvlr,film/film_genre/films_in_this_genre,m.09kd_p,What is an example of a period piece film?,historical period drama
21457,m.037ltr7,music/release/format,m.01www,What medium was lord herbert of cherbury's lute book released on,
21458,m.05nsj_d,cvg/game_version/developer,m.06rfy5,which company developed the videogame nhl 08?,
21493,m.0chp4r,biology/animal_breed/place_of_origin,m.09c7w0,which country was wyandotte born,wyandotte chicken
21597,m.0_hxvvx,music/composition/form,m.074ft,in what form was the composition cabaret released,
21682,m.0dshw5z,music/album/artist,m.0hqgp,"Name a composer in the album, ""The Great Composers IV"".",six great waltzes - johann strauss||peter tschaikowsky||george gershwin||gioacchino rossini||les triomphes de karajan
